"gameweek","player","pos","team_normalized","salary","ppg","pts_floor","pts_ceiling","sortino","form","matchup_quality","est_own_pct","est_captain_pct","cash_score","cash_rating","gpp_score","gpp_rating","captain_score","captain_rating","value","picked_by","n_games","actual_pts","actual_own_pct","actual_captain_pct","opponent","home_away"
19,"Djordje Petrovic","GK","Bournemouth",5.5,3.34090909090909,0,8,1.83095705165227,3.34090909090909,36.1,3.2,0,40.5,"Playable",62.7,"Sneaky Good",47.8,"Risky Captain",0.61,"3.1",22,2,NA,NA,"Chelsea","A"
19,"Wilson Odobert","MID","Tottenham",6.6,1.41818181818182,0,3,1.8195675220562,1.41818181818182,47.2,1.2,0,40.3,"Playable",44.5,"Meh",46.1,"Risky Captain",0.21,"0",22,3,NA,NA,"Brentford","A"
19,"Jack Hinshelwood","MID","Brighton",10.1,1.48181818181818,0,6.3,1.25176521297308,1.48181818181818,58.1,3.9,0,40.3,"Playable",49.4,"Meh",65.9,"Live Longshot",0.15,"0.1",22,1,NA,NA,"West Ham","A"
19,"Brennan Johnson","MID","Tottenham",8.6,1.83636363636364,0,7.3,1.52476982956287,1.83636363636364,47.2,2.6,0,40,"Playable",50,"Meh",69.4,"Live Longshot",0.21,"1.4",22,0,NA,NA,"Brentford","A"
19,"Emiliano Buendia","MID","Aston Villa",5.5,2.37727272727273,0,8.3,1.4548937993084,2.37727272727273,41.8,0.5,0,39.9,"Thin Ice",64.4,"Sneaky Good",71.3,"Top Captain",0.43,"0.2",22,1.7,NA,NA,"Arsenal","A"
19,"Daichi Kamada","MID","Crystal Palace",9.8,1.93181818181818,0,4.8,1.17117638981258,1.93181818181818,51.4,1.8,0,39.9,"Thin Ice",56.8,"Sneaky Good",64,"Live Longshot",0.2,"0.1",22,0,NA,NA,"Fulham","H"
19,"Pau Torres","DEF","Aston Villa",4.9,1.64545454545455,0,6.3,1.06561453166612,1.64545454545455,27.1,0.7,0,39.8,"Thin Ice",56.7,"Sneaky Good",46.6,"Risky Captain",0.34,"0.4",22,0,NA,NA,"Arsenal","A"
19,"Noah Sadiki","MID","Sunderland",4.3,2.23636363636364,0,4.3,1.30694052225579,2.23636363636364,42.9,0.5,0,39.8,"Thin Ice",56.6,"Sneaky Good",55.6,"Live Longshot",0.52,"0.2",22,0,NA,NA,"Manchester City","H"
19,"Tomas Soucek","MID","West Ham",8.6,1.92272727272727,0,6.7,1.30427362788013,1.92272727272727,49.7,1.9,0,39.6,"Thin Ice",57.5,"Sneaky Good",68.7,"Live Longshot",0.22,"0.3",22,1,NA,NA,"Brighton","H"
19,"Noni Madueke","MID","Arsenal",10.9,0.918181818181818,0,3.3,1.17088972643319,0.918181818181818,63.6,4,0,39.6,"Thin Ice",42.7,"Meh",55.5,"Live Longshot",0.08,"0.2",22,0.7,NA,NA,"Aston Villa","H"
