,,,,Offense,,,,,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Dominic Calvert-Lewin,LEE,LIV,F,95.0,0.25,0.10,3.22,1.23,1.33,19.13,25.69,0.95,0.26,2.92,1.05,2.01,0.43,0.93,0.66,0.11,1.33,0.12,2.07,0.00,1.31,1.52,0.13,0.00
Tijjani Reijnders,MCI,SUN,M,95.0,0.25,0.09,2.01,0.57,1.51,51.10,58.24,2.30,0.58,0.56,0.94,1.02,0.74,2.12,1.12,0.20,1.15,0.42,0.88,0.00,0.91,1.21,0.10,0.00
Zian Flemming,BRN,NEW,F,95.0,0.24,0.13,2.34,0.85,0.89,12.96,17.88,0.52,0.07,2.09,0.47,1.34,0.28,0.94,0.71,0.12,0.83,0.15,1.89,0.00,1.59,1.64,0.16,0.01
Diego Gomez,BHA,WHU,M,95.0,0.24,0.11,1.87,0.77,1.43,27.90,34.37,1.82,0.40,0.93,1.45,1.39,0.67,2.28,1.29,0.07,0.69,0.27,1.31,0.00,0.90,1.14,0.15,0.01
Noah Okafor,LEE,LIV,F,95.0,0.24,0.08,3.10,1.16,1.56,21.73,27.54,2.71,0.38,0.52,2.37,1.55,0.61,1.57,0.79,0.19,0.70,0.12,2.07,0.00,1.28,0.79,0.01,0.00
Dominik Szoboszlai,LIV,LEE,M,95.0,0.23,0.21,1.63,0.50,1.51,32.57,38.99,1.70,0.44,0.69,1.03,0.89,0.40,1.53,0.93,0.32,0.68,0.38,0.99,0.00,0.94,1.34,0.15,0.00
Pedro Neto,CHE,BOU,F/M,95.0,0.23,0.18,1.84,0.65,1.60,20.32,23.91,3.62,1.09,0.48,1.36,1.17,0.34,1.07,0.59,0.03,0.63,0.32,1.17,0.00,1.17,0.92,0.20,0.00
Ollie Watkins,AVL,ARS,F,95.0,0.22,0.27,3.12,1.42,1.61,18.79,24.01,1.00,0.33,1.66,0.71,2.11,0.39,0.76,0.47,0.09,0.61,0.12,2.06,0.00,1.53,1.58,0.12,0.01
Lucas Paqueta,WHU,BHA,F/M,95.0,0.22,0.07,1.76,0.55,1.23,31.04,38.90,1.91,0.41,1.12,1.04,1.33,0.47,1.51,0.85,0.16,0.81,0.16,1.76,0.00,1.63,1.23,0.27,0.00
Wesley Fofana,CHE,BOU,D,95.0,0.22,0.04,0.93,0.21,0.45,66.54,75.69,0.31,0.03,2.98,0.31,0.42,1.08,1.64,1.05,1.23,5.22,0.32,1.17,0.00,1.01,1.29,0.33,0.01
